observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
alobaid2026-5,1004558,Asellia patrizii,exact,al-obaid-2026-saudi,"Table 3, Asellia patrizii at As Saqeed Island, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,As Saqeed Island,,,290,start_frequency,mean,134.6,129.0,138.3,kHz,sd,3.2,134.6 ± 3.2 (129.0-138.3),definition_unstated,"Table 3, Asellia patrizii at As Saqeed Island; reported n=290 calls."
alobaid2026-6,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Ben Rasheed cave, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Ben Rasheed cave,,,321,duration,mean,5.9,1.4,11.1,ms,sd,2.9,5.9 ± 2.9 (1.4-11.1),definition_unstated,"Table 3, Asellia tridens at Ben Rasheed cave; reported n=321 calls."
alobaid2026-6,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Ben Rasheed cave, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Ben Rasheed cave,,,321,end_frequency,mean,104.3,100,121.2,kHz,sd,6.4,104.3 ± 6.4 (100-121.2),definition_unstated,"Table 3, Asellia tridens at Ben Rasheed cave; reported n=321 calls."
alobaid2026-6,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Ben Rasheed cave, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Ben Rasheed cave,,,321,peak_frequency,mean,116.7,100,121.2,kHz,sd,3.8,116.7 ± 3.8 (100-121.2),definition_unstated,"Table 3, Asellia tridens at Ben Rasheed cave; reported n=321 calls."
alobaid2026-6,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Ben Rasheed cave, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Ben Rasheed cave,,,321,start_frequency,mean,117.2,105.3,121.1,kHz,sd,2.8,117.2 ± 2.8 (105.3-121.1),definition_unstated,"Table 3, Asellia tridens at Ben Rasheed cave; reported n=321 calls."
alobaid2026-7,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Luga cave, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Luga cave,,,1725,duration,mean,5.11,1.07,11.8,ms,sd,2.5,5.11 ± 2.5 (1.07-11.8),definition_unstated,"Table 3, Asellia tridens at Luga cave; reported n=1725 calls."
alobaid2026-7,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Luga cave, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Luga cave,,,1725,end_frequency,mean,108.1,100,121.2,kHz,sd,4.2,108.1 ± 4.2 (100-121.2),definition_unstated,"Table 3, Asellia tridens at Luga cave; reported n=1725 calls."
alobaid2026-7,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Luga cave, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Luga cave,,,1725,peak_frequency,mean,111.2,102.6,117.7,kHz,sd,2.7,111.2 ± 2.7 (102.6-117.7),definition_unstated,"Table 3, Asellia tridens at Luga cave; reported n=1725 calls."
alobaid2026-7,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Luga cave, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Luga cave,,,1725,start_frequency,mean,111.1,100.0,121.2,kHz,sd,2.9,111.1 ± 2.9 (100.0-121.2),definition_unstated,"Table 3, Asellia tridens at Luga cave; reported n=1725 calls."
alobaid2026-8,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Al Summan, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Summan,,,37,duration,mean,5.6,1.35,9.9,ms,sd,1.8,5.6 ± 1.8 (1.35-9.9),definition_unstated,"Table 3, Asellia tridens at Al Summan; reported n=37 calls."
alobaid2026-8,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Al Summan, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Summan,,,37,end_frequency,mean,108.6,100.0,117.7,kHz,sd,5.1,108.6 ± 5.1 (100.0-117.7),definition_unstated,"Table 3, Asellia tridens at Al Summan; reported n=37 calls."
alobaid2026-8,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Al Summan, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Summan,,,37,peak_frequency,mean,113.5,111.1,117.6,kHz,sd,16,113.5 ± 16 (111.1-117.6),definition_unstated,"Table 3, Asellia tridens at Al Summan; reported n=37 calls."
alobaid2026-8,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Al Summan, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Summan,,,37,start_frequency,mean,113.53,111.1,117.6,kHz,sd,1.9,113.53 ± 1.9 (111.1-117.6),definition_unstated,"Table 3, Asellia tridens at Al Summan; reported n=37 calls."
alobaid2026-9,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Al Madinah, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Madinah,,,13,duration,mean,5.1,1.2,9.6,ms,sd,2.6,5.1 ± 2.6 (1.2-9.6),definition_unstated,"Table 3, Asellia tridens at Al Madinah; reported n=13 calls."
alobaid2026-9,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Al Madinah, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Madinah,,,13,end_frequency,mean,114.1,105.3,121.2,kHz,sd,5.9,114.1 ± 5.9 (105.3-121.2),definition_unstated,"Table 3, Asellia tridens at Al Madinah; reported n=13 calls."
alobaid2026-9,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Al Madinah, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Madinah,,,13,peak_frequency,mean,116.6,105.3,121.2,kHz,sd,5.0,116.6 ± 5.0 (105.3-121.2),definition_unstated,"Table 3, Asellia tridens at Al Madinah; reported n=13 calls."
alobaid2026-9,1004559,Asellia tridens,exact,al-obaid-2026-saudi,"Table 3, Asellia tridens at Al Madinah, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Madinah,,,13,start_frequency,mean,118.2,114.3,121.2,kHz,sd,1.9,118.2 ± 1.9 (114.3-121.2),definition_unstated,"Table 3, Asellia tridens at Al Madinah; reported n=13 calls."
